Tactic ID,L6 Planning Account,Promo ID,Tactic Type,L5 Promoted Product Group Code,L5 Promoted Product Group,Payment Type,Promotion Contract ID,Promo Status,Fiscal Year,Promo Name,Discount Type,Tactic Order Start Date,Tactic Order End Date,Tactic Ship Start Date,Tactic Ship End Date,Tactic Performance Start Date,Tactic Performance End Date,Promotion Created Date,L1 SBU,L2 Segment,L3 Division,L4 Region,L5 Market,Promotion Notes,Discount Rate,Settled Spend $,Accrued Liability $,Planned Spend $,Remaining Spend $,::auto_unique_id::
U100FQGT,DOLLAR GENERAL,U100FQGS,EDLP,LP404065,VRT SUG FREE WAFERS ALT 7.1OZ 12PK,Off Invoice, ,Approved,FY 2026,FY26 DG VOORTMAN WAFER EDLP,$ Off,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-02-11 00:00:00,US RETAIL,DOLLAR,DOLLAR GENERAL DIVISION,DOLLAR GENERAL REGION,DOLLAR GENERAL,(Empty),1.14,4601350,4601350.0,4932780,624581,0
U100FQMN,FAMILY DOLLAR,U100FQML,EDLP,LP404065,VRT SUG FREE WAFERS ALT 7.1OZ 12PK,Off Invoice, ,Approved,FY 2026,FY26 FD EDLP Voortman,$ Off,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-02-12 00:00:00,US RETAIL,DOLLAR,DOLLAR AO DIVISION,FAMILY DOLLAR REGION,FAMILY DOLLAR,(Empty),1.09,1169666,1169666.0,1048580,108793,1
U100FTGS,DOLLAR GENERAL,U100FTGR,Reset Fees,LP404065,VRT SUG FREE WAFERS ALT 7.1OZ 12PK,Fixed Fee, ,Approved,FY 2026,FY26 DG VOORTMAN RESET FEES,Fixed,2025-05-01 00:00:00,2025-05-28 00:00:00,2025-05-01 00:00:00,2025-05-28 00:00:00,2025-05-01 00:00:00,2025-05-28 00:00:00,2025-03-03 00:00:00,US RETAIL,DOLLAR,DOLLAR GENERAL DIVISION,DOLLAR GENERAL REGION,DOLLAR GENERAL,(Empty),67255.0,67255,67255.0,67255,0,2
U100FTGW,DOLLAR GENERAL,U100FTGV,HQ Agreement,LP404065,VRT SUG FREE WAFERS ALT 7.1OZ 12PK,Fixed Fee, ,Approved,FY 2026,FY26 DG VOORTMAN B5S5 BB,Fixed,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-03-03 00:00:00,US RETAIL,DOLLAR,DOLLAR GENERAL DIVISION,DOLLAR GENERAL REGION,DOLLAR GENERAL,(Empty),31000.0,15480,31000.0,31000,15520,3
U100FTGY,DOLLAR GENERAL,U100FTGX,HQ Agreement,LP404065,VRT SUG FREE WAFERS ALT 7.1OZ 12PK,Fixed Fee, ,Approved,FY 2026,DG FY26 VOORTMAN BOPIS,Fixed,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-03-03 00:00:00,US RETAIL,DOLLAR,DOLLAR GENERAL DIVISION,DOLLAR GENERAL REGION,DOLLAR GENERAL,(Empty),6000.0,5415,6000.0,6000,585,4
U100FTH0,DOLLAR GENERAL,U100FTGZ,New Store Allowances,LP404065,VRT SUG FREE WAFERS ALT 7.1OZ 12PK,Fixed Fee, ,Approved,FY 2026,FY26 DG VOORTMAN NSA,Fixed,2025-06-01 00:00:00,2026-04-30 00:00:00,2025-06-01 00:00:00,2026-04-30 00:00:00,2025-06-01 00:00:00,2026-04-30 00:00:00,2025-03-03 00:00:00,US RETAIL,DOLLAR,DOLLAR GENERAL DIVISION,DOLLAR GENERAL REGION,DOLLAR GENERAL,(Empty),840000.0,317941,840000.0,840000,522059,5
U110GIFD,FAMILY DOLLAR,U110GIFC,New Store Allowances,LP404065,VRT SUG FREE WAFERS ALT 7.1OZ 12PK,Fixed Fee, ,Approved,FY 2026,FY26 FD NSA - Voortman,Fixed,2025-05-01 00:00:00,2026-04-29 00:00:00,2025-05-01 00:00:00,2026-04-29 00:00:00,2025-05-01 00:00:00,2026-04-29 00:00:00,2025-08-20 00:00:00,US RETAIL,DOLLAR,DOLLAR AO DIVISION,FAMILY DOLLAR REGION,FAMILY DOLLAR,(Empty),5000.0,3108,5000.0,5000,1892,6
U100FQGT,DOLLAR GENERAL,U100FQGS,EDLP,LP404065,VRT SUG FREE WAFERS ALT 7.1OZ 12PK,Off Invoice, ,Approved,FY 2026,FY26 DG VOORTMAN WAFER EDLP,$ Off,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-02-11 00:00:00,US RETAIL,DOLLAR,DOLLAR GENERAL DIVISION,DOLLAR GENERAL REGION,DOLLAR GENERAL,(Empty),1.14,4814101,4814101.0,4932780,408540,7
U100FQMN,FAMILY DOLLAR,U100FQML,EDLP,LP404065,VRT SUG FREE WAFERS ALT 7.1OZ 12PK,Off Invoice, ,Approved,FY 2026,FY26 FD EDLP Voortman,$ Off,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-02-12 00:00:00,US RETAIL,DOLLAR,DOLLAR AO DIVISION,FAMILY DOLLAR REGION,FAMILY DOLLAR,(Empty),1.09,1214870,1214870.0,1048580,63288,8
U100FTGS,DOLLAR GENERAL,U100FTGR,Reset Fees,LP404065,VRT SUG FREE WAFERS ALT 7.1OZ 12PK,Fixed Fee, ,Approved,FY 2026,FY26 DG VOORTMAN RESET FEES,Fixed,2025-05-01 00:00:00,2025-05-28 00:00:00,2025-05-01 00:00:00,2025-05-28 00:00:00,2025-05-01 00:00:00,2025-05-28 00:00:00,2025-03-03 00:00:00,US RETAIL,DOLLAR,DOLLAR GENERAL DIVISION,DOLLAR GENERAL REGION,DOLLAR GENERAL,(Empty),67255.0,67255,67255.0,67255,0,9
U100FTGW,DOLLAR GENERAL,U100FTGV,HQ Agreement,LP404065,VRT SUG FREE WAFERS ALT 7.1OZ 12PK,Fixed Fee, ,Approved,FY 2026,FY26 DG VOORTMAN B5S5 BB,Fixed,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-03-03 00:00:00,US RETAIL,DOLLAR,DOLLAR GENERAL DIVISION,DOLLAR GENERAL REGION,DOLLAR GENERAL,(Empty),31000.0,16509,31000.0,31000,14491,10
U100FTGY,DOLLAR GENERAL,U100FTGX,HQ Agreement,LP404065,VRT SUG FREE WAFERS ALT 7.1OZ 12PK,Fixed Fee, ,Approved,FY 2026,DG FY26 VOORTMAN BOPIS,Fixed,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-05-01 00:00:00,2026-04-30 00:00:00,2025-03-03 00:00:00,US RETAIL,DOLLAR,DOLLAR GENERAL DIVISION,DOLLAR GENERAL REGION,DOLLAR GENERAL,(Empty),6000.0,6297,6297.0,6000,-28,11
U100FTH0,DOLLAR GENERAL,U100FTGZ,New Store Allowances,LP404065,VRT SUG FREE WAFERS ALT 7.1OZ 12PK,Fixed Fee, ,Approved,FY 2026,FY26 DG VOORTMAN NSA,Fixed,2025-06-01 00:00:00,2026-04-30 00:00:00,2025-06-01 00:00:00,2026-04-30 00:00:00,2025-06-01 00:00:00,2026-04-30 00:00:00,2025-03-03 00:00:00,US RETAIL,DOLLAR,DOLLAR GENERAL DIVISION,DOLLAR GENERAL REGION,DOLLAR GENERAL,(Empty),840000.0,317941,840000.0,840000,522059,12
