Case UPC,Client,Item UPC,Pack / Size / UOM,Item Description,DBW Group,Primary PG,Secondary DBW Group,Units to Cases - (Case Count)
205,HOSTESS,,192/1 EA,HOSTESS HLDY MP HALF PLT,LP404933,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,192
219,HOSTESS,219,12/12.3 OZ,VRT USA FDG STRP OATML RP,LP404014,VRTMN COOKIES 12/7-12 OZ,SBS VRT,12
226,HOSTESS,226,12/12.34 OZ,VRT USA OATML CHOC CHP RP,LP404014,VRTMN COOKIES 12/7-12 OZ,SBS VRT,12
256,HOSTESS,256,12/12.3 OZ,VRT USA CRANBERRY FLAX RP,LP404014,VRTMN COOKIES 12/7-12 OZ,SBS VRT,12
266,HOSTESS,266,12/7.1 OZ,VRT USA ZS CHOCOLATE WFR,LP404065,VRTMN ZS WAFER 12/7-7.1 OZ,SBS VRT,12
267,HOSTESS,267,12/7.1 OZ,VRT USA ZS STRAWBERRY WFR,LP404065,VRTMN ZS WAFER 12/7-7.1 OZ,SBS VRT,12
268,HOSTESS,268,12/7.1 OZ,VRT USA ZS ORG CREME WFR,LP404065,VRTMN ZS WAFER LTO 12/7-7.1 OZ,SBS VRT,12
270,HOSTESS,270,12/7.1 OZ,VRT USA ZS LEMON WFR,LP404065,VRTMN ZS WAFER LTO 12/7-7.1 OZ,SBS VRT,12
296,HOSTESS,296,12/7.1 OZ,VRT USA ZS VANILLA WFR,LP404065,VRTMN ZS WAFER 12/7-7.1 OZ,SBS VRT,12
357,HOSTESS,357,12/10.6 OZ,VRT USA SPEC GINGRBRD FP,LP403994,VRTMN HOLIDAY PKG LTO 12PK,SBS VRT,12
358,HOSTESS,358,12/10.6 OZ,VRT USA SPEC ASSRT FESTIV,LP403994,VRTMN HOLIDAY PKG LTO 12PK,SBS VRT,12
360,HOSTESS,360,12/8.8 OZ,VRT USA VAN SHORTBREAD FP,LP403995,VRTMN HOLIDAY PKG LTO 12PK,SBS VRT,12
363,HOSTESS,363,12/10.6 OZ,VRT USA SPEC CHOC MNT WFR,LP404153,VRTMN WAFERS LTO 12/10.6 OZ,SBS VRT,12
500,HOSTESS,500,12/10.6 OZ,VRT USA APPLE CRISP WFR,LP404154,VRTMN WAFERS LTO 12/10.6 OZ,SBS VRT,12
504,HOSTESS,504,12/10.6 OZ,VRT USA SPEC PMPKN SPCWRF,LP404154,VRTMN WAFERS LTO 12/10.6 OZ,SBS VRT,12
510,HOSTESS,510,12/10.6 OZ,VRT USA LEMON WFR,LP404158,VRTMN CRM WAFER 12/10.6 OZ,SBS VRT,12
511,HOSTESS,511,12/10.6 OZ,VRT USA VANILLA WAFER,LP404158,VRTMN CRM WAFER 12/10.6 OZ,SBS VRT,12
512,HOSTESS,512,12/10.6 OZ,VRT USA CHOCOLATE WFR,LP404158,VRTMN CRM WAFER 12/10.6 OZ,SBS VRT,12
513,HOSTESS,513,12/10.6 OZ,VRT USA STRAWBERRY WFR,LP404158,VRTMN CRM WAFER 12/10.6 OZ,SBS VRT,12
519,HOSTESS,519,12/9 OZ,VRT USA ZS ORNG CREME WFR,LP404077,VRTMN ZS WAFERS LTO 12/9 OZ,SBS VRT,12
521,HOSTESS,521,12/9 OZ,VRT USA ZS LEMON WFR,LP404077,VRTMN ZS WAFERS LTO 12/9 OZ,SBS VRT,12
525,HOSTESS,525,12/9 OZ,VRT USA ZS VANILLA WFR,LP404077,VRTMN ZS WAFERS 12/9 OZ,SBS VRT,12
526,HOSTESS,526,12/9 OZ,VRT USA ZS CHOCOLATE WFR,LP404077,VRTMN ZS WAFERS 12/9 OZ,SBS VRT,12
527,HOSTESS,527,12/9 OZ,VRT USA ZS STRAWBERRY WFR,LP404077,VRTMN ZS WAFERS 12/9 OZ,SBS VRT,12
543,HOSTESS,543,12/9 OZ,VRTMN PNT BUTTER ZS WAFER,LP404077,VRTMN ZS WAFERS 12/9 OZ,SBS VRT,12
549,HOSTESS,549,12/8 OZ,VRT ZS FDG BRWN CHOC CHP,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
550,HOSTESS,550,12/8 OZ,VRT USA ZS CHOC CHIP FP,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
551,HOSTESS,551,12/8 OZ,VRT USA ZS SHORTBREAD FP,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
552,HOSTESS,552,12/8 OZ,VRT USA ZS OATMEAL FP,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
564,HOSTESS,564,12/8 OZ,VRT USA ZS ICD ALMONETTE,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
565,HOSTESS,565,12/8 OZ,VRT USA ZS PCN SHRTBRD FP,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
566,HOSTESS,566,12/8 OZ,VRT USA ZS PCN CHOC CHPFP,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
568,HOSTESS,568,12/11.3 OZ,VRT ZS FDG STRP SHORTBRD,LP404051,VRTMN ZS COOKIES 12/8-11 OZ,SBS VRT,12
574,HOSTESS,574,12/10.6 OZ,VRT USA SPEC KEY LIME WFR,LP404158,VRTMN CRM WAFER 12/10.6 OZ,SBS VRT,12
576,HOSTESS,576,12/10.6 OZ,VOORTMAN PNT BTR WAFERS,LP404158,VRTMN CRM WAFER 12/10.6 OZ,SBS VRT,12
579,HOSTESS,579,12/10.6 OZ,VRT USA SUMMER BERRY WFR,LP404149,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
582,HOSTESS,582,12/10.6 OZ,VRT USA CHOC RASPBRY WFR,LP404158,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
586,HOSTESS,586,12/10.6 OZ,VRT USA ORANGE CREME WFR,LP404158,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
587,HOSTESS,587,12/10.6 OZ,VOORTMANS SMORES WAFERS,LP404154,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
591,HOSTESS,591,12/10.6 OZ,VRT USA PEACHES & CRM WFR,LP404151,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
592,HOSTESS,592,12/10.6 OZ,VRT STRWBRRY SHRTCK WFR,LP404151,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
593,HOSTESS,593,6/9/5.17 OZ,VRT USA VAN WFR SS 10CT,LP404029,VRTMN MEGA SZ SS 6/9/5.17 OZ,SBS VRT,54
595,HOSTESS,595,6/9/5.17 OZ,VRT USA STRWBRY WFR SS10C,LP404029,VRTMN MEGA SZ SS 6/9/5.17 OZ,SBS VRT,54
597,HOSTESS,597,6/9/5.17 OZ,VRT USA CHOC WFR SS 10CT,LP404029,VRTMN MEGA SZ SS 6/9/5.17 OZ,SBS VRT,54
632,HOSTESS,632,12/10.6 OZ,VRT USA RASPBERRY WFR,LP404158,VRTMN CRM WAFER LTO 12/10.6 OZ,SBS VRT,12
677,HOSTESS,677,12/12.3 OZ,VOORTMAN HOLIDAY TREATS,LP403996,VRTMN COOKIES LTO 12/7-12 OZ,SBS VRT,12
678,HOSTESS,678,12/12.3 OZ,VRT USA GNGRBEARD BAG CKI,LP403996,VRTMN COOKIES LTO 12/7-12 OZ,SBS VRT,12
870,HOSTESS,870,1/15 LB,VRT VANILLA WFR BULK,LP404428,DBW REG BULK 1/15 LB,SBS VRT,1
1001,HOSTESS,1001,6/6/3.17 OZ,HST CHOC CUP CAKE SS 2CT,LP404301,HST SS 6/6/1-6 CT,SBS HST,36
1004,HOSTESS,1004,6/8/2.89 OZ,HST COFFEE CAKE SS 2CT,LP404297,HST SS 6/8/2 CT,SBS HST,48
1005,HOSTESS,1005,6/6/3.81 OZ,HST CHOC ZINGER SS 3CT,LP404326,HST SS 6/6/1-6 CT,SBS HST,36
1007,HOSTESS,1007,6/6/3.38 OZ,HST ORNG CUP CAKE SS 2CT,LP404303,HST SS 6/6/1-6 CT,SBS HST,36
1008,HOSTESS,1008,6/6/4.02 OZ,HST RASP ZINGER SS 3CT,LP404326,HST SS 6/6/1-6 CT,SBS HST,36
1009,HOSTESS,1009,6/6/3.5 OZ,HST SNOBALL SS 2CT,LP404321,HST SS 6/6/1-6 CT,SBS HST,36
1011,HOSTESS,1011,6/6/3.81 OZ,HST VAN ZINGER SS 3CT,LP404326,HST SS 6/6/1-6 CT,SBS HST,36
1016,HOSTESS,1016,6/6/4 OZ,HST CINN ROLL SS,LP404442,HST SS 6/6/1-6 CT,SBS HST,36
1058,HOSTESS,1001,3/6/3.17 OZ,HST CHOC CUPCK SS 2CT FRS,LP404301,HST SS 3 PK CADDY,SBS HST,18
1060,HOSTESS,1009,3/6/3.5 OZ,HST SNOBL SS 2CT FRSH,LP404321,HST SS 3 PK CADDY,SBS HST,18
1062,HOSTESS,1007,3/6/3.38 OZ,HST ORNG CPCK SS 2CT FRSH,LP404303,HST SS 3 PK CADDY,SBS HST,18
1084,HOSTESS,5003,6/10/3 OZ,HST DBL CHOC MN DNT SS6CT,LP404308,HST SS DONETTE CADDY 6/6 CT,SBS HST,60
1096,HOSTESS,1096,6/10/4 OZ,HST CARML CRNCH DNT SS6CT,LP404373,HST SS DONETTE CADDY 6/6 CT,SBS HST,60
1100,HOSTESS,1100,6/6/3.17 OZ,HST STR SPNGLD CPCK SS2CT,LP404365,HST SS LTO 6/6/2 CT,SBS HST,36
1113,HOSTESS,1011,3/6/3.81 OZ,HST VAN ZNGR SS FSH 3CT,LP404326,HST SS 3 PK CADDY,SBS HST,18
1114,HOSTESS,1004,3/8/2.89 OZ,HST COF CK SS 3CT CDY,LP404297,HST PREM SS 8CT 3PK,SBS HST,24
1122,HOSTESS,1008,3/6/4.02 OZ,HST RASP ZNGR SS FSH 3CT,LP404326,HST SS 3 PK CADDY,SBS HST,18
1139,HOSTESS,6001,6/8/4.25 OZ,HST APL PIE SS FSH 8CT,LP404320,HST SS 6/8 CT,SBS HST,48
1140,HOSTESS,6002,6/8/4.25 OZ,HST CHRY PIE SS FSH 8CT,LP404320,HST SS 6/8 CT,SBS HST,48
1141,HOSTESS,6002,2/8/4.25 OZ,HST CHRY PIE SS 8CT 2CADY,LP404320,HST SS 2 PK CADDY,SBS HST,16
1142,HOSTESS,6001,2/8/4.25 OZ,HST APL PIE SS 8CT 2CADDY,LP404320,HST SS 2 PK CADDY,SBS HST,16
1147,HOSTESS,1148,6/25.4 OZ,HST SCARY CPCK JUMBO 16CT,LP404125,MULTI PACK SML FRM LTO 6 PK,SBS HST,6
1149,HOSTESS,1150,6/21.73 OZ,HOSTESS CHOC TWK,LP404168,HST SS LTO 6/6/2 CT,SBS HST,6
