Case UPC,Item UPC,Client,Pack / Size / UOM,Item Description,DBW Group,Primary PG,Secondary DBW Group,Units to Cases - (Case Count)
1,1,JMSMUC,12 / 11 / OZ,SM CIDR APPLE BUTTER,LP400237,SM CIDER APPLE BTR 11 OZ,FHS SM,12
26,26,JMSMUC,12 / 11.75 / OZ,SMCKR STRWBR TOPPING,LP400224,SM PB SPOONABLE,FHS SM,12
774,774,JMSMUC,200 / 0.5 / OZ,SMUCKER ASSRTMNT PLSTC,LP401802,SM JAM/JELLY/PRSRV/HONEY .05 O,FHS SM,200
82245,82245,JMSMUC,10 / 2.9 / OZ,MKB HOL 12 DAY TRT CALDR,LP403735,MKB ALT RWHD 13.2-19.2 OZ,PET MKB,10
82457,82457,JMSMUC,6 / 80 / OZ,ADAMS CREAMY PBTR,LP401643,ADAMS NAT P BUT 6/80 OZ,FHS SM,6
52224,52224,JMSMUC,12 / 13 / OZ,9 L MEATY PATE BEEF DNNR,,9L CAN 13 OZ,,12
82587,82587,JMSMUC,6 / 26 / OZ,SM CRMY NAT PNT BTR TWIN,LP402462,SM NAT PB 26 OZ,FHS SM,6
82589,82589,JMSMUC,6 / 26 / OZ,SM CHNKY NAT PNT BTR TWIN,LP402462,SM NAT PB 26 OZ,FHS SM,6
82738,82738,JMSMUC,4 / 3 / LB,MEOW MIX GRVY BURSTS CHKN,LP404521,MM GRAVY BURST CK/SALM 4/3 LB,PET MM,4
82861,82861,JMSMUC,4 / 7.76 / OZ,BS MEDIUM RST 22 CT KCUP,LP404719,CAFE BUSTELO K CUP 22 CT,COFFEE BS,4
83007,83007,JMSMUC,6 / 22 / OZ,MKB PEEPS MRSHMLW SM BISC,LP404475,DISPLAY ONLY ITEMS,PET MKB,6
83052,83052,JMSMUC,4 / 38 / OZ,PUP-PERONI ORIGINAL BEEF,LP403513,PP DOG SNCKS 38 OZ,PET PP,4
83053,83053,JMSMUC,4 / 38 / OZ,PUP-PERONI LEAN BEEF FLV,LP403513,PP DOG SNCKS 38 OZ,PET PP,4
52729,52729,JMSMUC,12 / 2.1 / OZ,9 LIVES CRUNCHY CHCKN TRK,,9L SNCKS 2.1 OZ,,12
83085,83085,JMSMUC,4 / 8.14 / OZ,BS LIGHT RST 22 CT KCUP,LP404719,CAFE BUSTELO K CUP 22 CT,COFFEE BS,4
83120,51021,JMSMUC,48 / 1 / EA,PUP-PERONI BEEF FLSTND,LP401909,PET SHIPPERS/DISPLAY/PALLETS,PET PP,48
83125,83125,JMSMUC,4 / 3 / LB,MM TC BB BF SM DCF,LP403688,MM DRY SML BAG 3.05- 3.15 LB,PET MM,4
83482,83482,JMSMUC,1 / 13.5 / LB,MM TC BB BF SM DCF,LP403689,MM TC DRY LARGE BAG 13.5 OZ,PET MM,1
83623,83623,JMSMUC,4 / 22.5 / OZ,PP ORIG BEEF MINIS,LP400450,PP DOG SNCK SFT CHWY 22.5-25 O,PET PP,4
83624,83624,JMSMUC,4 / 22.5 / OZ,PP TRIPLE MEAT LVRS FLVR,LP400450,PP DOG SNCK SFT CHWY 22.5-25 O,PET PP,4
83625,83625,JMSMUC,4 / 22.5 / OZ,PP TRIPLE STEAK,LP400450,PP DOG SNCK SFT CHWY 22.5-25 O,PET PP,4
83626,83626,JMSMUC,4 / 22.5 / OZ,PUP-PERONI PRM RIB FLAVOR,LP400450,PP DOG SNCK SFT CHWY 22.5-25 O,PET PP,4
83627,83627,JMSMUC,4 / 22.5 / OZ,PP FILET MIGNON & BACON,LP400450,PP DOG SNCK SFT CHWY 22.5-25 O,PET PP,4
83628,83628,JMSMUC,4 / 22.5 / OZ,PP W/REAL BEEF BRISKET,LP400450,PP DOG SNCK SFT CHWY 22.5-25 O,PET PP,4
780,780,JMSMUC,12 / 16 / OZ,KBF STRAWBERRY PRES,LP401041,KB FRUIT SPREAD 14-16 OZ,PET PP,12
83629,83629,JMSMUC,4 / 22.5 / OZ,PUP-PERONI W/REAL SAUSAGE,LP400450,PP DOG SNCK SFT CHWY 22.5-25 O,PET PP,4
83630,83630,JMSMUC,4 / 22.5 / OZ,PUP-PERONI BEEF DOG TREAT,LP400450,PP DOG SNCK SFT CHWY 22.5-25 O,PET PP,4
83631,83631,JMSMUC,4 / 22.5 / OZ,PUP-PERONI LEAN BEEF,LP400450,PP DOG SNCK SFT CHWY 22.5-25 O,PET PP,4
83632,83632,JMSMUC,4 / 22.5 / OZ,PUP-PERONI BACON,LP400450,PP DOG SNCK SFT CHWY 22.5-25 O,PET PP,4
83679,83679,JMSMUC,4 / 35 / OZ,PP W/REAL BEEF BRISKET,LP400468,PP DOG SNCKS 35 OZ,PET PP,4
83680,83680,JMSMUC,4 / 35 / OZ,PP ORIGINAL BEEF FLV,LP400468,PP DOG SNCKS 35 OZ,PET PP,4
83681,83681,JMSMUC,4 / 35 / OZ,PUP-PERONI LEAN BEEF FLV,LP400468,PP DOG SNCKS 35 OZ,PET PP,4
83682,83682,JMSMUC,4 / 35 / OZ,PP PRIME RIB FLAVOR,LP400468,PP DOG SNCKS 35 OZ,PET PP,4
83683,83683,JMSMUC,4 / 35 / OZ,PP TRIPLE STEAK FLAVOR,LP400468,PP DOG SNCKS 35 OZ,PET PP,4
83702,,JMSMUC,32 / 5.6 / OZ,MKB PP S&C DOG TREAT DS,LP403750,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,32
795,795,JMSMUC,200 / 0.5 / OZ,SMUCKERS ASST 3 PLASTIC,LP400219,SM JAM/JELLY/PRSRV/HONEY .05 O,FHS SM,200
84479,84479,JMSMUC,12 / 20 / OZ,SMUCKER SQZ APPLE CINNM,,SM SQUEEZE 17-20 OZ,FHS SM,12
48101,48101,JMSMUC,2 / 1000 / EA,BR RCKLN CP CMM CFF FLTRS,,BR CUPS 1000 CT,,2
59154,,JMSMUC,48 / 1 / EA,BUSTELO ESPRS 10 K-CUP SH,LP404696,COFF SHIPPERS/DISPLAYS/PALLETS,COFFEE BS,48
85037,85037,JMSMUC,6 / 2.8 / OZ,FOLGRS CLSSC RST 10CT KCP,LP404476,FG KCUP 10 CT,COFFEE FG,6
85154,85154,JMSMUC,12 / 4.5 / OZ,CCO SPOOKY COOKIE,LP404771,MKB HOLIDAY,PET MKB,12
85202,85202,JMSMUC,30 / 0.9 / OZ,FLGRS CAFF CLASSIC ROAST,LP401346,FG KCUPS 24 CT,COFFEE FG,30
85550,85550,JMSMUC,6 / 9.6 / OZ,FG BTRY CRML R&G CFFE,LP401319,FG GROUND 23 OZ,COFFEE FG,6
85681,85681,JMSMUC,6 / 3.5 / OZ,BS DUL DE LEC 10 CT KCUP,LP404720,CAFE BUSTELO K CUP 10 CT,COFFEE BS,6
11200,,JMSMUC,24 / 10 / OZ,CAFE BUSTELO CAN FS,LP401604,COFF SHIPPERS/DISPLAYS/PALLETS,COFFEE BS,24
85977,27359,JMSMUC,20 / 2.85 / OZ,MKB ADVNET CALENDAR DS,LP403896,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,20
810,810,JMSMUC,4 / 6 / OZ,MB GD MRNNG TOTAL WLLNSS,,MKB GOOD MRNNG 6 OZ,PET MKB,4
